"employeeId";"employeeName";"phoneNo";"role"
1;"Peterr";"098823";"Cashier"
4;"Essmu";"334115";"Warehouse Manager"
6;"Whitin";"1112222";"Cashier"
10;"Pete";"098823";"Cashier"
11;"Essmu";"3341111";"Cashier"
12;"Niaa";"091168686";"Warehouse Manager"
13;"John Deez";"1234567890";"Cashier"
14;"Jane Doe";"9876543210";"Cashier"
15;"Peter Jones";"1112223333";"Warehouse Manager"
16;"Mary Smith";"4445556666";"Cashier"
17;"David Black";"7778889999";"Warehouse Manager"
18;"Sarah Williams";"0001112222";"Cashier"
19;"Michael Johnson";"3334445555";"Warehouse Manager"
20;"Elizabeth Miller";"6667778888";"Cashier"
21;"James Davis";"9990001111";"Cashier"
22;"Patricia Taylor";"2223334444";"Cashier"
23;"Robert Wilson";"5556667777";"Warehouse Manager"
24;"Susan Cooper";"8889990000";"Cashier"
25;"Margaret Anderson";"1112223333";"Warehouse Manager"
28;"Kenneth Smith";"0001112222";"Cashier"
29;"Donald Williams";"33344455556";"Warehouse Manager"
30;"Dorothy Johnson";"6667778888";"Cashier"
31;"Anthony Brown";"9990001111";"Warehouse Manager"
32;"Mary Evans";"2223334444";"Cashier"
33;"Faker";"109990";"Warehouse Manager"
